Choice,A_follower_count,A_following_count,A_listed_count,A_mentions_received,A_retweets_received,A_mentions_sent,A_retweets_sent,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_follower_count,B_following_count,B_listed_count,B_mentions_received,B_retweets_received,B_mentions_sent,B_retweets_sent,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
0,0.46422,-0.85919,-1.0861,-0.089348,0.2698,-0.02926,-0.14478,0.065943,-0.057707,-0.045309,0.0048744,-0.086022,-0.0024438,1.5209,-0.16201,-0.44587,-0.47857,0.59178,-0.1682,-0.6292,0.4224,-0.066574
0,0.49029,-0.89324,-0.86656,-0.012796,0.23374,-0.0075283,-0.1315,0.036422,-0.047807,-0.044205,0.0045092,0.19583,1.6266,1.7048,-1.1255,1.2663,2.0351,0.49374,-1.4359,-0.27463,-0.027521,-0.036958
1,0.45107,-0.029149,0.043994,0.26676,0.21431,0.067687,0.14488,0.044845,0.004388,-0.045841,0.005143,0.53065,0.044217,0.59506,0.62314,-0.065842,-0.54546,0.43219,-0.35991,0.1575,-0.10756,0.020887
0,-1.8886,-0.56673,-0.73152,-0.55379,-1.2862,0.82728,0.29685,0.089706,-0.053574,0.28808,0.0029709,0.35604,-0.75648,0.14609,0.053393,-0.035658,0.48211,-0.52029,-0.037043,-0.27145,0.07936,-0.021879
1,0.47917,-0.89144,-1.0128,-0.020628,0.24527,-0.015904,-0.11679,0.04573,-0.051914,-0.045625,0.0043248,0.46079,-0.66074,-0.83346,-0.039705,0.24873,-0.038721,-0.13635,0.01809,-0.040976,-0.051561,0.0063062
1,0.5061,-0.87714,0.056721,-0.23418,0.21947,-0.088836,-0.18452,-0.066147,-0.02478,-0.021728,0.004828,0.53065,0.044217,0.59506,0.62314,-0.065842,-0.54546,0.43219,-0.35991,0.1575,-0.10756,0.020887
0,0.4755,-0.89026,-1.0486,-0.031228,0.24571,-0.0055392,-0.15692,0.056884,-0.055315,-0.046207,0.0045409,-0.72841,3.4705,-0.84794,-0.54779,0.52518,3.0963,0.38031,-1.4732,0.45096,-0.76661,0.076554
0,0.52386,-0.23551,0.3319,0.29384,0.26047,-0.0091515,0.52555,0.18572,0.045297,-0.039161,0.0041308,0.35604,-0.75648,0.14609,0.053393,-0.035658,0.48211,-0.52029,-0.037043,-0.27145,0.07936,-0.021879
1,0.29216,-0.34342,-0.96913,-0.057727,0.34347,0.22575,-0.051948,0.33033,0.0086645,-0.044259,0.017772,0.66608,-0.94204,0.69502,0.38505,0.15123,-0.13789,0.67625,-0.2428,0.11369,-0.064986,0.0071381
1,-0.064062,-0.029217,-0.85035,0.1367,-0.26308,-0.16101,-0.27346,-0.18569,-0.054911,0.030539,-0.029644,0.34116,-0.20613,0.39949,-0.35905,0.33731,0.0084901,0.23229,0.17832,-0.1227,0.065195,-0.015012
0,0.27184,-0.26895,-0.076687,0.042717,0.12791,0.38548,-0.18862,0.40486,-0.12428,0.042614,-0.01049,-14.042,-1.3779,0.53277,-7.726,-14.054,3.5222,3.6561,1.0956,-1.4081,-0.24145,-0.61954
1,-1.2281,-0.99045,-0.48794,-0.67223,-1.7572,0.71493,0.18613,0.25288,0.058387,-0.2134,0.0078623,0.19583,1.6266,1.7048,-1.1255,1.2663,2.0351,0.49374,-1.4359,-0.27463,-0.027521,-0.036958
1,0.56584,-0.65012,1.5701,0.51247,-0.15185,-0.088347,0.5353,-0.24648,0.11078,-0.061371,0.0063488,0.031602,-0.43052,0.42682,0.22543,-0.55242,-0.048347,0.19053,-0.15306,-0.29269,0.11147,-0.02571
0,0.47425,-0.88229,-1.104,-0.033803,0.25716,-0.0036902,-0.14258,0.053244,-0.054426,-0.049331,0.0047959,-2.2859,5.0009,-0.72969,1.1711,-3.0245,-1.996,-0.95057,-1.1472,0.33001,-0.22023,0.080554
0,0.47706,0.66763,1.6745,-0.14674,0.44483,1.5547,-1.0822,-1.0165,-0.14724,-0.091171,-0.0086612,0.29624,0.48706,-0.79921,0.28061,0.021051,-0.16636,-0.46686,-0.17695,-0.0063208,-0.10812,0.018182
0,0.35245,0.11498,-0.76463,0.18328,0.11965,-0.0060761,-0.3533,-0.14969,-0.051367,-0.076179,0.0096036,-0.086022,-0.0024438,1.5209,-0.16201,-0.44587,-0.47857,0.59178,-0.1682,-0.6292,0.4224,-0.066574
0,-0.86106,-0.80299,-0.87685,-0.6732,-0.6597,0.15426,0.038195,0.078828,0.25786,0.15018,-0.16555,0.19583,1.6266,1.7048,-1.1255,1.2663,2.0351,0.49374,-1.4359,-0.27463,-0.027521,-0.036958
1,0.047143,1.3059,-0.50298,0.72458,-0.54805,-1.044,-0.45791,-0.73763,-0.050806,-0.039907,0.018994,0.47706,0.66763,1.6745,-0.14674,0.44483,1.5547,-1.0822,-1.0165,-0.14724,-0.091171,-0.0086612
1,0.46103,0.27308,2.0924,0.086975,0.31933,0.054933,0.92511,0.36407,-0.021706,0.09212,-0.018081,0.36967,-0.66568,1.7646,-2.3391,0.6171,-0.80157,-0.96692,-0.34031,0.02241,0.020346,0.022026
0,0.46216,-0.77614,-1.0918,-0.053512,0.28757,0.022141,-0.12251,0.10459,-0.057016,-0.048093,0.0045204,0.52787,-0.60561,1.1139,0.35183,0.089169,0.20194,0.5785,-0.20476,-0.043016,0.018511,-0.010869
0,0.14045,2.4463,0.20504,0.6454,0.14126,-0.41242,0.40971,0.81726,0.039163,-0.041902,0.014635,-0.33369,0.38391,-0.70656,0.12043,-0.8256,-0.31373,-0.24296,0.035357,-0.051739,-0.079907,-0.0080184
1,-0.010987,-0.23242,-0.54626,0.014267,-0.2514,-0.085331,0.077473,0.034975,-0.37286,0.16703,-0.030396,0.41914,-0.82604,-0.43867,-0.67501,0.35826,-0.31116,-0.12802,-0.091853,-0.053049,-0.018333,0.0073943
0,0.47236,-0.86599,-1.1013,-0.034984,0.25946,-0.0070941,-0.13947,0.072467,-0.054396,-0.048389,0.0048417,0.30666,0.90205,0.58834,0.59471,-0.13023,-0.33793,0.19678,0.018293,0.063419,-0.075018,0.014678
1,0.57472,-0.69008,0.87401,0.20259,0.043896,0.39638,-0.65275,0.1729,-0.029183,-0.021044,0.00097934,1.2123,-1.0779,5.6746,1.611,-0.0555,-0.72539,3.725,-1.2548,0.66535,-0.13757,0.015936
0,0.5213,-0.78124,-0.36677,0.084549,0.22191,0.024116,-0.0089582,0.067661,-0.020301,-0.038118,0.0030855,0.75003,-0.97588,3.17,0.46436,-0.21015,0.24718,-0.1431,-0.25784,0.064856,0.0058185,-0.00025544
0,0.50244,-0.89751,-0.79241,0.023051,0.21952,0.02258,-0.17219,0.043131,-0.045747,-0.044784,0.0045121,0.014423,-0.90185,-0.89346,-0.21504,-0.31574,0.15754,0.018804,0.082389,-0.23275,0.0085663,-0.014821
0,0.60101,-0.20365,1.0132,0.65198,-0.016132,-0.45731,0.76256,-0.50157,0.18954,-0.10674,0.017688,0.47442,-0.83541,-1.0224,-0.039551,0.26096,0.022883,-0.17913,0.083682,-0.057073,-0.046617,0.0046158
1,-0.21827,0.90275,0.020388,-0.10536,0.45635,1.1595,0.15126,0.41872,-0.26241,0.22819,-0.048762,0.51455,-0.7064,-0.30663,0.078626,0.20897,-0.1626,0.18143,-0.020401,0.01305,-0.048774,0.007197
0,0.50212,-0.63448,-0.55473,0.069703,0.28245,0.029824,0.075565,0.16185,-0.015884,-0.046751,0.0045282,-0.28199,0.15855,-0.28472,-0.10596,-0.12594,0.18645,0.055125,-0.29284,-0.43724,0.32471,-0.059234
1,-2.0751,-0.0093852,-0.51627,-0.92917,-3.0178,0.79517,0.12435,0.5715,1.4778,-1.2423,0.07732,0.39207,-0.074779,-0.47494,-0.20649,0.52077,1.0081,-0.30626,-0.41899,-0.12736,-0.091464,-0.0067722
0,0.032616,1.4368,2.6864,-1.9888,0.51183,-0.89656,-0.032738,0.55415,0.045349,0.04066,0.021667,0.62318,-0.84954,1.4968,0.52237,-0.065079,-0.021682,0.39064,-0.23506,0.021457,0.015172,-0.0050263
1,-10.086,-0.79743,0.053879,1.5517,3.4965,-0.57321,-0.94104,0.24445,2.9794,0.12015,-0.84649,-0.055474,0.76176,-0.56253,0.31726,-0.21609,-0.084386,-0.29254,-0.49995,-0.10473,0.015207,-0.0028765
1,-1.8911,4.7916,-0.80397,1.8108,-1.9801,-2.8038,-1.4624,-1.1069,0.92754,0.081237,-0.18651,0.040897,2.8752,-0.22315,0.5112,0.17098,-0.17882,-0.33652,1.2822,0.0045587,-0.058621,0.023406
0,0.47285,-0.86726,-1.1018,-0.03353,0.25912,-0.0068352,-0.13966,0.071949,-0.054116,-0.048578,0.004862,0.75273,-0.93383,1.5056,0.57781,0.14978,-0.30181,1.3869,-0.44458,0.22492,-0.082668,0.0091868
0,0.031602,-0.43052,0.42682,0.22543,-0.55242,-0.048347,0.19053,-0.15306,-0.29269,0.11147,-0.02571,0.1719,-0.17706,-0.5075,0.21001,-0.21167,-0.21295,-0.17802,-0.18058,-0.24121,0.074855,-0.011399
1,-1.9307,5.5847,-0.18589,-3.636,3.4438,5.5168,1.0238,-3.6207,-0.36018,0.10275,-0.038421,0.53065,0.044217,0.59506,0.62314,-0.065842,-0.54546,0.43219,-0.35991,0.1575,-0.10756,0.020887
0,0.85808,-0.22597,5.3077,1.0824,-0.59582,0.853,-1.4032,0.22153,0.064044,0.02489,0.0021717,0.27267,0.36516,0.40443,0.26664,-0.18083,0.0347,-0.82056,-0.020429,-0.099422,-0.0079378,0.0048842
0,0.5213,-0.78124,-0.36677,0.084549,0.22191,0.024116,-0.0089582,0.067661,-0.020301,-0.038118,0.0030855,0.47638,-0.88976,-1.0785,-0.031968,0.25058,-0.0077302,-0.15503,0.058714,-0.054378,-0.048044,0.004836
0,-0.013141,-0.92259,-0.50532,-0.15761,-0.43858,0.23147,-0.04282,0.085468,-0.26594,0.035445,-0.020242,0.16523,0.76762,0.81848,0.61756,-0.30164,-0.40633,0.34447,-0.095867,-0.20937,0.12713,-0.017912
0,0.55932,-0.89805,-0.30895,0.15335,0.22313,-0.076119,0.29502,-0.10176,0.027514,-0.059407,0.005915,0.52744,-0.71847,-0.36019,0.15656,0.19045,-0.055182,0.061768,-0.031508,0.0068019,-0.056625,0.0068156
0,0.46894,-0.8844,-1.0448,-0.088851,0.25625,-0.029199,-0.15739,0.049942,-0.045663,-0.053133,0.0061015,0.0090303,1.6942,-0.11087,0.13854,0.3995,0.24768,0.4163,1.5936,-0.17291,0.12657,-0.013894
1,0.1719,-0.17706,-0.5075,0.21001,-0.21167,-0.21295,-0.17802,-0.18058,-0.24121,0.074855,-0.011399,-0.51067,6.135,-0.83958,0.84278,0.39582,0.66109,-0.42378,-1.4542,0.034042,-0.29948,0.033409
1,0.1719,-0.17706,-0.5075,0.21001,-0.21167,-0.21295,-0.17802,-0.18058,-0.24121,0.074855,-0.011399,0.41908,-0.65166,-0.18067,-0.67984,0.42377,-0.18017,0.031129,-0.20813,-0.035566,-0.031946,0.0062256
1,0.29624,0.48706,-0.79921,0.28061,0.021051,-0.16636,-0.46686,-0.17695,-0.0063208,-0.10812,0.018182,0.55012,-0.86643,-0.17932,0.10175,0.16174,0.19957,-0.39976,0.018324,-0.05208,-0.035736,0.0028558
0,0.56584,-0.65012,1.5701,0.51247,-0.15185,-0.088347,0.5353,-0.24648,0.11078,-0.061371,0.0063488,-0.50294,0.82446,-0.46126,0.20032,-0.13173,0.25177,-0.015693,-0.37796,-0.33581,0.3826,-0.10188
0,0.55473,-0.85803,-0.22133,0.12277,0.20909,-0.007156,0.086033,-0.031064,0.0065422,-0.050099,0.0052733,0.41908,-0.65166,-0.18067,-0.67984,0.42377,-0.18017,0.031129,-0.20813,-0.035566,-0.031946,0.0062256
0,0.4755,-0.89026,-1.0486,-0.031228,0.24571,-0.0055392,-0.15692,0.056884,-0.055315,-0.046207,0.0045409,0.031602,-0.43052,0.42682,0.22543,-0.55242,-0.048347,0.19053,-0.15306,-0.29269,0.11147,-0.02571
0,0.57786,0.60867,1.8518,0.6895,0.24516,-0.026144,1.2492,-0.010782,0.17293,-0.06755,0.006849,-0.51577,-0.80229,-0.30782,-0.29513,-1.011,0.36229,-0.0060345,0.11669,-0.43257,0.11485,-0.037585
1,0.24055,0.032818,-0.37492,-0.10422,0.18081,0.21213,-0.10744,0.25999,-0.073783,-0.029518,0.0018123,0.5061,-0.87714,0.056721,-0.23418,0.21947,-0.088836,-0.18452,-0.066147,-0.02478,-0.021728,0.004828
0,-0.40599,-0.29222,-0.26913,-0.084853,-0.62742,0.22877,0.1054,0.10814,-0.44651,0.22612,-0.034694,0.59711,-0.74153,0.3744,0.26393,0.17787,0.016434,0.2353,0.027319,0.036051,-0.04194,0.0046532
0,0.47638,-0.88976,-1.0785,-0.031968,0.25058,-0.0077302,-0.15503,0.058714,-0.054378,-0.048044,0.004836,0.38787,0.91423,0.32346,0.61006,-0.058961,-0.54976,-0.01357,0.39742,0.09195,-0.071868,0.022741
0,0.14914,1.0622,-0.33904,0.58027,-0.28832,-0.7521,-0.058277,-0.14956,-0.018822,-0.042507,0.015447,0.14496,1.1606,-0.81871,0.38616,-0.035361,-0.40395,-0.34565,0.15133,0.057617,-0.095218,0.019125
0,0.56536,-0.81619,0.11223,0.099863,0.24138,-0.0099597,0.34586,-0.21159,0.02875,-0.054723,0.0042395,0.43219,-0.48065,-0.96378,-0.0058495,0.24384,-0.059822,-0.15938,0.04516,-0.040649,-0.059144,0.0078454
1,0.35604,-0.75648,0.14609,0.053393,-0.035658,0.48211,-0.52029,-0.037043,-0.27145,0.07936,-0.021879,0.45295,-0.67949,-0.9603,-0.042672,0.33331,0.22475,-0.08791,-0.076839,-0.069028,-0.053043,0.00091769
1,-2.1138,-0.47145,-0.83597,0.24755,0.68795,0.44954,-0.13773,-0.24749,0.32371,0.56686,0.43154,0.52386,-0.23551,0.3319,0.29384,0.26047,-0.0091515,0.52555,0.18572,0.045297,-0.039161,0.0041308
1,-2.2859,5.0009,-0.72969,1.1711,-3.0245,-1.996,-0.95057,-1.1472,0.33001,-0.22023,0.080554,0.5628,-0.88186,-0.27816,0.16976,0.22946,-0.10144,0.37889,-0.10015,0.03838,-0.061339,0.0062542
0,0.29467,0.25206,-0.12063,0.44184,-0.18034,-0.37091,-0.23211,-0.30695,-0.061829,-0.018964,0.0075109,-0.040214,0.60719,0.82541,-2.223,1.0463,0.27466,0.032207,-0.76012,-0.29881,0.14726,-0.025437
0,0.41914,-0.82604,-0.43867,-0.67501,0.35826,-0.31116,-0.12802,-0.091853,-0.053049,-0.018333,0.0073943,-1.2435,2.5121,-0.84039,-0.20452,0.236,1.6536,0.15125,-0.90422,0.21681,-0.026427,-0.0067763
0,0.47236,-0.86599,-1.1013,-0.034984,0.25946,-0.0070941,-0.13947,0.072467,-0.054396,-0.048389,0.0048417,-0.39097,2.2719,-0.97465,0.88634,-1.2203,-1.4773,-0.89956,-0.9258,0.23986,-0.26476,0.046465
0,0.62318,-0.84954,1.4968,0.52237,-0.065079,-0.021682,0.39064,-0.23506,0.021457,0.015172,-0.0050263,-1.523,1.9713,-0.44107,0.56417,-1.7384,-0.76424,-0.24323,-1.2766,-0.98556,0.68141,-0.10367
1,-6.4867,-1.6594,-0.50616,0.8581,1.4572,0.3876,-0.53406,0.16112,3.828,1.4233,0.36304,0.47618,-0.8065,-0.94572,-0.019652,0.26406,0.022908,-0.10354,0.074821,-0.049898,-0.047112,0.0043219
1,-0.28199,0.15855,-0.28472,-0.10596,-0.12594,0.18645,0.055125,-0.29284,-0.43724,0.32471,-0.059234,-0.10892,0.33726,-0.27057,0.25052,-0.65775,-0.39249,-0.24401,-0.1263,-0.297,0.075398,-0.01375
1,-1.9105,-0.66327,-0.70384,-1.0189,-2.6538,0.97711,0.36778,0.4316,0.79567,-0.80226,0.05292,-0.10062,-0.88139,-0.91785,-0.25781,-0.42095,0.23809,0.020047,0.12035,-0.079851,-0.08284,0.0027183
1,0.42551,-0.062676,-0.51479,0.19933,0.15454,-0.19181,-0.098833,0.19754,0.0032402,-0.05922,0.011578,0.068061,3.6614,-0.44235,-0.031596,1.2548,0.9308,0.67699,3.2079,-0.096512,0.029925,-0.0010789
1,-0.062697,1.5679,-0.088016,0.70951,-0.69649,-1.0401,-0.31507,-0.095597,-0.00023585,-0.054677,0.023592,0.5213,-0.78124,-0.36677,0.084549,0.22191,0.024116,-0.0089582,0.067661,-0.020301,-0.038118,0.0030855
0,0.32854,0.18347,1.3454,-1.7286,0.75003,-0.76569,0.18124,0.31031,0.051196,0.019165,0.018435,-3.6745,0.67274,-0.76728,0.043439,-2.0731,-0.059645,-0.10943,-0.49572,0.75815,0.54579,0.1604
0,0.43531,-0.21419,-0.59581,0.26855,0.03525,-0.29119,-0.24051,-0.13597,0.012706,-0.081107,0.015114,0.29235,0.37858,-0.69006,0.16848,0.2187,0.26333,-0.20598,-0.58518,-0.060469,-0.082873,0.0010481
1,0.46372,-0.18114,-0.23626,0.28525,0.068884,-0.25924,-0.070167,-0.05553,0.029572,-0.071281,0.013462,0.46695,-0.88391,-1.0902,-0.086557,0.26373,-0.034773,-0.14839,0.051145,-0.056704,-0.046098,0.0049866
1,-2.2859,5.0009,-0.72969,1.1711,-3.0245,-1.996,-0.95057,-1.1472,0.33001,-0.22023,0.080554,0.35604,-0.75648,0.14609,0.053393,-0.035658,0.48211,-0.52029,-0.037043,-0.27145,0.07936,-0.021879
1,0.74178,-0.96255,1.3161,0.5666,0.15829,-0.33645,1.4208,-0.44718,0.22357,-0.085702,0.009496,0.50893,-0.71163,-0.54351,0.12415,0.21585,-0.064641,0.10626,-0.058614,0.0021099,-0.059958,0.0065343
1,0.15839,0.18955,-0.47089,0.36067,-0.18905,-0.41101,-0.14005,-0.26594,-0.1333,0.062355,-0.014579,-6.6422,-1.1898,-0.37402,-3.1524,-5.9868,1.9128,1.3941,0.58869,1.1478,-0.22535,-0.091553
0,0.41914,-0.82604,-0.43867,-0.67501,0.35826,-0.31116,-0.12802,-0.091853,-0.053049,-0.018333,0.0073943,0.41908,-0.65166,-0.18067,-0.67984,0.42377,-0.18017,0.031129,-0.20813,-0.035566,-0.031946,0.0062256
1,0.040897,2.8752,-0.22315,0.5112,0.17098,-0.17882,-0.33652,1.2822,0.0045587,-0.058621,0.023406,0.15941,0.013693,1.8334,0.56509,-0.42067,-0.082971,0.57434,-0.18541,-0.42628,0.31221,-0.056008
0,0.47222,0.055817,0.48056,0.30122,0.27369,-0.12988,0.85816,0.15362,0.040567,-0.023903,0.0010478,0.35884,-0.73965,-0.54126,0.019697,0.093651,0.058057,0.077886,0.11382,-0.11425,0.0048344,-0.005486
1,0.4275,0.1624,0.65767,-0.24561,0.44859,-0.085833,0.48268,0.54991,0.0079202,0.0053268,0.003036,0.51455,-0.7064,-0.30663,0.078626,0.20897,-0.1626,0.18143,-0.020401,0.01305,-0.048774,0.007197
0,0.37599,-0.20087,-0.69878,-0.082258,0.45762,0.67328,0.018548,-0.21921,-0.093571,-0.06976,-0.0039612,-0.024791,1.5779,-0.64239,0.65798,-0.43269,-0.80692,-0.54071,-0.72287,-0.0051366,-0.064009,0.020839
0,0.33906,1.1801,0.0079859,0.42917,0.22274,-0.33003,0.32544,0.78143,0.068218,-0.056991,0.016459,0.2159,-0.3458,-0.44344,0.060652,0.13721,0.13425,0.15242,0.14863,-0.22284,0.12831,-0.030745
1,0.58248,0.1242,2.5102,0.94762,-0.32995,-0.35475,0.44224,-0.40511,0.11484,-0.012089,0.0051283,0.57766,-0.55597,0.67062,0.40643,-0.00080602,-0.065881,-0.039182,-0.18233,0.035946,-0.046261,0.0073798
0,0.23304,-0.57347,-0.078819,0.062005,-0.15076,0.076463,-0.15025,-0.0011752,-0.15035,0.035071,-0.01354,0.45937,-0.75402,-1.0763,-0.009987,0.23092,-0.061338,-0.16902,0.043318,-0.04644,-0.054003,0.0066888
0,0.63753,-0.51896,1.6535,0.27377,-0.03238,-0.22702,-0.0044093,-0.43502,0.10789,-0.059199,0.013558,-0.064062,-0.029217,-0.85035,0.1367,-0.26308,-0.16101,-0.27346,-0.18569,-0.054911,0.030539,-0.029644
1,-1.0581,1.592,-0.5813,0.33797,0.10835,-0.13629,0.013578,0.90728,-0.048836,0.45163,0.11147,0.5213,-0.78124,-0.36677,0.084549,0.22191,0.024116,-0.0089582,0.067661,-0.020301,-0.038118,0.0030855
0,-0.010987,-0.23242,-0.54626,0.014267,-0.2514,-0.085331,0.077473,0.034975,-0.37286,0.16703,-0.030396,-0.65227,0.42473,-0.050045,-0.090288,0.040912,0.35672,0.30724,0.75206,-0.651,0.13533,0.18661
1,-1.2519,3.4155,-0.31378,0.76594,-1.6932,-1.3153,-0.23863,0.35158,-0.52093,0.3221,-0.055257,1.2123,-1.0779,5.6746,1.611,-0.0555,-0.72539,3.725,-1.2548,0.66535,-0.13757,0.015936
0,0.32972,0.377,1.5592,0.47088,-0.087989,-0.072169,0.75443,0.51454,-0.041351,0.055414,-0.010072,0.27352,-0.79527,-0.12881,0.07442,-0.055858,0.030195,0.27583,0.035059,-0.26684,0.12332,-0.026966
1,0.52508,-0.81122,-0.10157,0.033877,0.21349,0.14327,-0.14645,-0.087704,-0.041757,-0.030664,0.00164,0.27267,0.36516,0.40443,0.26664,-0.18083,0.0347,-0.82056,-0.020429,-0.099422,-0.0079378,0.0048842
0,0.47429,-0.86743,-1.0781,-0.033824,0.25686,-0.0026663,-0.15187,0.072415,-0.054233,-0.047872,0.0047966,0.51207,-0.78373,-0.48845,0.040055,0.20124,0.19783,-0.44267,0.1199,-0.071222,-0.033744,0.0027426
1,-0.076716,-0.25429,0.95842,-4.4462,1.1742,-1.7137,-0.2359,-0.81305,-0.045788,0.039837,0.030952,0.45788,0.35662,0.37935,0.60294,-0.016604,-0.52335,0.49622,-0.20393,0.12308,-0.091988,0.017923
0,0.46637,-0.74479,-0.98946,0.0096862,0.22458,-0.029972,-0.18532,0.030216,-0.046187,-0.053589,0.0062232,0.50864,-0.56799,0.12468,0.2891,0.096828,-0.19464,0.33643,-0.0097564,0.015304,-0.027788,0.0036459
0,0.75003,-0.97588,3.17,0.46436,-0.21015,0.24718,-0.1431,-0.25784,0.064856,0.0058185,-0.00025544,-0.39097,2.2719,-0.97465,0.88634,-1.2203,-1.4773,-0.89956,-0.9258,0.23986,-0.26476,0.046465
1,0.47298,-0.90038,-0.6187,-0.0010682,0.17234,0.10582,-0.40054,0.079019,-0.062509,-0.02535,0.0015536,0.52508,-0.81122,-0.10157,0.033877,0.21349,0.14327,-0.14645,-0.087704,-0.041757,-0.030664,0.00164
1,0.53822,-0.88217,-0.35045,0.084777,0.17919,0.076649,-0.22204,0.038349,-0.03161,-0.042117,0.004587,0.47561,-0.83441,-0.97544,-0.018668,0.26782,0.056604,-0.098238,-6.39E-05,-0.055824,-0.049121,0.0034977
1,0.23768,-0.37483,-0.11028,0.19019,-0.091427,-0.041449,-0.079087,0.074279,-0.13878,0.071128,-0.011234,-0.010987,-0.23242,-0.54626,0.014267,-0.2514,-0.085331,0.077473,0.034975,-0.37286,0.16703,-0.030396
1,-0.059626,-0.29848,0.8052,-5.711,1.564,-2.4019,-0.8629,-0.7307,0.17321,-0.06624,0.071737,0.48221,-0.84798,-0.95967,-0.016872,0.25157,0.0084756,-0.14273,0.07644,-0.050464,-0.04644,0.0046759
0,0.47371,-0.85631,-0.99314,-0.077987,0.26868,0.01631,-0.17287,0.02886,-0.055645,-0.047879,0.0047401,-0.040214,0.60719,0.82541,-2.223,1.0463,0.27466,0.032207,-0.76012,-0.29881,0.14726,-0.025437
1,-2.0751,-0.0093852,-0.51627,-0.92917,-3.0178,0.79517,0.12435,0.5715,1.4778,-1.2423,0.07732,0.30666,0.90205,0.58834,0.59471,-0.13023,-0.33793,0.19678,0.018293,0.063419,-0.075018,0.014678
1,0.54854,-0.60956,3.3755,0.15692,-0.24115,-0.23321,0.68192,-0.47227,0.084849,0.019041,-0.00169,0.3273,-0.052387,-0.45927,0.3597,-0.11228,-0.47926,-0.096026,-0.25348,-0.019347,-0.031202,0.0076642
1,0.15941,0.013693,1.8334,0.56509,-0.42067,-0.082971,0.57434,-0.18541,-0.42628,0.31221,-0.056008,0.46021,-0.72978,-1.0468,-0.0449,0.28983,0.050869,-0.14505,0.13851,-0.061374,-0.045258,0.004093
1,0.29467,0.25206,-0.12063,0.44184,-0.18034,-0.37091,-0.23211,-0.30695,-0.061829,-0.018964,0.0075109,0.47294,-0.87479,-1.1039,-0.03605,0.2605,0.0046882,-0.14087,0.047742,-0.055609,-0.049506,0.0046299
1,0.35995,-0.13821,0.15918,0.39157,-0.10434,-0.29678,0.15073,-0.17931,-0.044851,0.0025074,-0.0016832,0.56031,-0.913,-0.23513,0.14251,0.18002,0.015294,-0.015986,-0.029274,-0.0043086,-0.047142,0.0050122
