@relation peerindex-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute class {0,1}
@attribute A_follower_count numeric
@attribute A_following_count numeric
@attribute A_listed_count numeric
@attribute A_mentions_received numeric
@attribute A_retweets_received numeric
@attribute A_mentions_sent numeric
@attribute A_retweets_sent numeric
@attribute A_posts numeric
@attribute A_network_feature_1 numeric
@attribute A_network_feature_2 numeric
@attribute A_network_feature_3 numeric
@attribute B_follower_count numeric
@attribute B_following_count numeric
@attribute B_listed_count numeric
@attribute B_mentions_received numeric
@attribute B_retweets_received numeric
@attribute B_mentions_sent numeric
@attribute B_retweets_sent numeric
@attribute B_posts numeric
@attribute B_network_feature_1 numeric
@attribute B_network_feature_2 numeric
@attribute B_network_feature_3 numeric

@data
0,15385,673,747,55.993546,22.321945,6.946233,0.341936,6.503977,202,152.495098,3286.617647,224146,272,6190,56.72528,11.854057,0.100503,0.100503,5.782979,211,54.925234,7211.663551
1,265258,209,551,631.915946,457.64855,5.460985,0.100503,7.498126,2603,3.826314,506.692136,219,148,8,0.758307,0.100503,0.100503,0.100503,0.100503,3,205,3922.666667
1,723800,328,7257,1695.430195,317.463665,3.581057,1.858226,6.484086,5210,13.598488,1336.213611,100151,31383,4679,286.941738,37.799964,6.663615,0.100503,8.464207,758,120.195059,4332.485046
0,352126,499,4428,476.925046,201.199206,6.710281,0.100503,7.974549,1881,54.199581,4991.589838,35420121,136440,243073,33169.806819,6627.82221,0.100503,0.100503,0.100503,54819,17.676085,2006.176049
1,4947410,112,26319,1774.213927,830.899475,0.100503,0.100503,0.100503,7321,26.544194,3068.022437,85138,67047,5103,150.340456,68.117366,5.480349,0.100503,71.879274,568,205.883275,9580.39547
1,356712,2070,2804,24.82391,4.468126,2.144406,0.605767,1.627039,92,258.255319,8133,871652,140,13838,133.213345,56.027747,2.62255,1.12116,2.62255,562,135.158451,5187.5
0,127,36,2,0.100503,0.100503,0.100503,0.100503,0.344375,0,0,0,4491415,756,29876,4499.996251,2206.571898,26.966925,12.628283,29.069822,16646,22.747726,2206.420734
0,26821,24787,144,8.14872,7.707475,1.058993,1.058993,42.471713,12,121.642857,15764.214286,96531,87,363,81.561734,43.321465,6.590245,2.339133,12.089645,296,9.208754,2112.074074
0,41367,71,717,32.549653,16.527846,4.59073,1.587365,10.832376,122,14.99187,2044.910569,322682,37601,22232,176.533716,42.330221,6.849227,1.345073,4.359865,696,234.338068,7168.464489
0,2774790,20342,15836,5088.577165,6.183081,0.810461,0.339522,1.081757,18549,4.781339,454.967895,85138,67047,5103,150.340456,68.117366,5.480349,0.100503,71.879274,568,205.883275,9580.39547
1,98788,2354,5610,385.795355,172.18343,8.361113,5.092201,10.777419,1330,61.639733,2080.33358,26821,24787,144,8.14872,7.707475,1.058993,1.058993,42.471713,12,121.642857,15764.214286
1,57840,27137,5245,271.75986,35.955804,13.079388,0.100503,12.642881,890,294.170732,8733.976718,158467,154157,1590,299.607879,80.190286,0.100503,0.100503,0.100503,791,122.252802,11514.811955
0,1043,974,31,0.100503,0.100503,1.13427,0.100503,1.637349,0,0,0,125438,983,4074,55.137266,23.44614,2.251398,0.100503,7.207908,239,217.241667,6466.733333
0,45589,862,2641,148.854279,36.998884,27.881768,3.333492,23.861282,551,127.404293,2833.847943,1706188,402,12138,837.580052,93.569848,7.621259,2.60906,4.866271,2597,21.289101,1937.639388
1,504004,3109,12772,311.800311,142.633229,4.48609,1.049408,4.806823,1280,48.532819,1554.489575,49326,42259,1446,0.45234,0.275538,0.100503,0.100503,0.100503,2,43,1651.5
0,444,155,14,0.100503,0.100503,0.349327,0.100503,0.349327,0,0,0,236123,858,2794,77.193573,23.971076,12.541601,2.550725,12.607072,307,159.200647,5131.31068
1,130850,3394,449,92.869651,16.538484,2.548048,0.100503,3.036688,355,102.573003,10481.735537,1294,431,44,0.555204,0.100503,0.100503,0.100503,0.595962,2,836,11447.5
0,5941,1615,278,39.589571,3.866453,1.515953,0.100503,1.281691,116,63.991525,2503.949153,206818,15196,2513,15.210108,4.314659,0.100503,0.100503,0.100503,69,321.188406,17454.115942
0,1043,81,40,2.718281,0.932458,0.100503,0.100503,0.100503,10,21.5,1412.3,1097135,830,10591,73.165677,19.898366,0.100503,0.100503,0.35184,288,13.709898,762.614334
0,5039,1159,97,27.927735,13.886842,3.276657,1.578963,4.731342,85,248.305882,4350.317647,424,884,6,0.268641,0.100503,0.595962,0.100503,0.860252,1,2,499
1,541611,2140,10406,2418.369859,981.459889,13.925585,0.100503,32.973024,8550,59.120227,4861.4109,5501,5908,400,7.196389,2.635723,1.772289,0.341936,0.825193,28,86.321429,1704.928571
0,598,600,11,12.532976,0.100503,3.069584,0.100503,2.764762,30,53.636364,1453.636364,480412,11948,16294,1795.525546,685.575044,4.534987,1.31814,15.825916,6867,60.814662,2695.612527
1,9542820,2069,17897,4336.358286,668.570801,7.376996,1.838381,3.113625,12252,16.385138,3413.41185,130878,5409,378,14.441664,5.673754,0.875214,0.100503,26.191893,51,18.901961,4006.686275
0,627949,150866,6820,246.403846,74.70543,21.260939,1.320681,15.278066,683,235.787265,11977.043415,58090,6,2963,98.954241,27.797596,0.796262,0.332423,0.332423,430,241.68046,8490.301149
1,5342840,33401,19715,173636.23895,52349.674207,11.408839,1.6529,13.485266,213718,5.348203,1230.512781,470926,322,7095,1005.888413,440.824681,6.196929,2.897666,17.97128,3999,39.066799,2468.15141
1,2260661,233,12680,13580.629438,1883.090015,27.182802,13.098383,18.349722,35645,16.870017,2092.420044,138235,780,1415,267.436511,128.707883,32.381551,3.495343,26.60847,852,27.478563,4345.216686
0,176,77,5,0.100503,0.100503,0.337132,0.100503,0.337132,0,0,0,1856,1533,87,0.966981,0.306073,0.356943,0.100503,0.60828,3,324.333333,4209.666667
0,871652,140,13838,133.213345,56.027747,2.62255,1.12116,2.62255,562,135.158451,5187.5,232753,320,7919,175.264776,100.48082,3.10849,1.614717,4.401919,679,47.096916,2374.155653
1,1481379,147521,15043,9902.070379,5012.055876,10.43846,0.100503,193.072418,28564,10.964144,1035.955493,750,997,29,2.292465,0.312366,5.135358,2.032459,4.423156,11,192.363636,3855.727273
0,282305,2114,1664,38.812809,14.16104,7.518899,0.837942,5.010179,168,379.311765,32020.811765,242529,7561,3702,242.633636,106.676389,7.19833,2.040511,10.073921,894,63.098999,8653.065628
0,5941,1615,278,39.589571,3.866453,1.515953,0.100503,1.281691,116,63.991525,2503.949153,671,215,17,0.354379,0.100503,0.100503,0.100503,0.100503,1,1,148
0,1209835,3,12226,86.820084,18.45811,0.100503,0.100503,0.100503,390,36.52551,2729.609694,117913,1299,9950,189.75523,67.310223,11.294831,2.567269,10.933766,791,185.542033,5535.939774
0,112,243,5,1.445174,0.100503,0.100503,0.100503,0.603177,5,96.6,1414.2,254,341,9,6.525792,1.157975,1.332898,0.35184,1.56716,21,74.333333,2138.238095
0,28613,3557,9,0.751434,0.295998,0.100503,0.100503,0.100503,3,2.666667,218.333333,266407,1592,6734,660.897263,297.090333,28.258,0.839682,20.722665,2376,66.39599,2706.108187
1,232753,320,7919,175.264776,100.48082,3.10849,1.614717,4.401919,679,47.096916,2374.155653,102116,293,970,1729.451634,763.659739,30.829977,8.568367,93.311571,4067,12.310269,1636.379704
1,232753,320,7919,175.264776,100.48082,3.10849,1.614717,4.401919,679,47.096916,2374.155653,71597,44262,1437,10.403563,3.365355,0.591206,0.100503,5.074567,47,72.106383,2146.893617
1,96531,87,363,81.561734,43.321465,6.590245,2.339133,12.089645,296,9.208754,2112.074074,794,479,8,0.306073,0.306073,0.100503,0.100503,1.621981,1,49,4969
0,356712,2070,2804,24.82391,4.468126,2.144406,0.605767,1.627039,92,258.255319,8133,508213,554,16338,3619.31077,878.310234,7.828676,2.267574,23.621324,12453,47.617908,2314.93336
0,2696,1718,20,4.237052,0.321057,0.586102,0.100503,0.837439,18,84.944444,2656.888889,71597,44262,1437,10.403563,3.365355,0.591206,0.100503,5.074567,47,72.106383,2146.893617
0,4760,425,96,5.011962,1.407896,0.100503,0.100503,0.100503,22,3,277.590909,871652,140,13838,133.213345,56.027747,2.62255,1.12116,2.62255,562,135.158451,5187.5
0,11427,1951,1069,31.201897,9.467739,12.70864,1.091425,16.994219,126,322.84252,6522.992126,2256591,735,22670,488.964333,211.42579,0.865711,0.364793,0.847757,1917,41.48783,3843.376489
1,392738,9364,3354,258.523924,124.47154,7.47134,0.595962,10.999134,973,41.016211,3042.892604,48711,22845,932,61.924804,18.578901,0.100503,0.100503,0.100503,229,80.343348,4431.682403
0,1404323,563,20057,967.720642,579.431128,4.473798,0.80568,6.241806,4027,57.643839,3201.293706,3764,703,222,5.270621,1.601159,2.338333,0.100503,1.596539,18,139.444444,4573.888889
0,671,215,17,0.354379,0.100503,0.100503,0.100503,0.100503,1,1,148,9093,672,457,11.122021,2.813523,15.165935,2.538667,7.016759,36,123.138889,4708.166667
0,163145,906,4475,182.175568,78.043202,11.607668,3.59002,9.605155,688,82.938659,1809.650499,220242,357,1062,452.547281,140.007534,13.439022,3.043693,13.647982,1796,13.661918,1375.807671
0,16978,6715,451,0.332423,0.100503,0.100503,0.100503,3.342999,1,130,2874,3638,3341,85,2.793577,1.402703,2.594089,0.59815,3.802143,11,9.416667,489.083333
1,224146,272,6190,56.72528,11.854057,0.100503,0.100503,5.782979,211,54.925234,7211.663551,9512,12,213,52.167068,23.182288,0.36215,0.100503,6.806045,195,11.678571,564.040816
1,1352348,331,15647,19129.848662,14552.733992,2.065418,0.580955,16.281502,52580,3.092448,597.563636,15385,673,747,55.993546,22.321945,6.946233,0.341936,6.503977,202,152.495098,3286.617647
1,4491415,756,29876,4499.996251,2206.571898,26.966925,12.628283,29.069822,16646,22.747726,2206.420734,127,106,4,1.093772,0.100503,0.367463,0.100503,0.623902,5,105.4,1190
0,78083,679,3680,165.594484,89.143156,5.186267,2.416831,7.179364,682,82.986957,3777.766667,143101,128686,8742,874.212873,347.630667,4.498471,0.100503,34.977978,2767,105.734781,5276.96262
0,49326,42259,1446,0.45234,0.275538,0.100503,0.100503,0.100503,2,43,1651.5,2273871,4524,11946,6782.405338,2944.524245,12.955723,2.791861,66.206208,21678,6.859364,1113.202016
0,444,155,14,0.100503,0.100503,0.349327,0.100503,0.349327,0,0,0,1259676,337,6109,908.649322,211.333671,12.021781,7.565643,12.792381,3366,10.048666,1326.842861
0,58090,6,2963,98.954241,27.797596,0.796262,0.332423,0.332423,430,241.68046,8490.301149,1525260,747,41582,3316.259533,1401.939767,8.257136,6.558356,22.443191,12203,57.957328,2352.647334
1,5922518,483,7594,65758.403536,32054.055597,1.61241,0.100503,2.631607,187674,6.015694,1199.636812,7147,737,112,2.33299,0.714556,0.86213,0.100503,1.357589,11,13.272727,520.181818
1,480412,11948,16294,1795.525546,685.575044,4.534987,1.31814,15.825916,6867,60.814662,2695.612527,823481,2667,13252,87.607656,28.673226,6.654946,2.615794,5.048748,351,58.414085,3523.250704
1,8168488,76,25928,2821.694234,787.511274,2.605211,0.58337,2.381687,9896,11.977136,2056.461592,1607541,93,9876,389.53312,217.628442,0.359534,0.100503,0.84979,1706,9.979033,774.398952
1,7554,1711,181,21.601866,3.581661,6.764657,1.119727,4.563246,85,48.5,1993.627907,2403,1,75,40.236553,31.458708,51.620005,0.100503,42.630426,147,10.027211,1486.306122
1,580544,2799,7371,296.978205,135.831429,15.033026,4.80718,8.262063,1201,87.183775,3547.782285,5941,1615,278,39.589571,3.866453,1.515953,0.100503,1.281691,116,63.991525,2503.949153
0,119001,119704,2266,63.603262,17.010682,11.232852,0.100503,6.628897,206,167.913043,6161.917874,6225470,381,40506,16532.60226,9816.447536,6.292393,4.340212,11.886873,61842,10.297831,1115.07744
0,1354,375,22,12.855342,6.2142,3.226601,1.537884,3.251456,35,43.314286,1991.171429,48777,858,1236,247.238745,74.103492,3.031696,1.816746,21.175696,997,32.902778,1871.071429
1,4189,2094,187,6.697366,1.425678,4.483607,1.332955,3.773553,29,79.206897,2846.793103,3525,3115,131,0.100503,0.100503,0.100503,0.100503,0.100503,0,0,0
1,4491415,756,29876,4499.996251,2206.571898,26.966925,12.628283,29.069822,16646,22.747726,2206.420734,224146,272,6190,56.72528,11.854057,0.100503,0.100503,5.782979,211,54.925234,7211.663551
1,657,501,59,0.527272,0.100503,0.100503,0.100503,0.100503,2,313.5,3283.5,1393,266,49,11.479365,2.512556,1.108566,0.356943,2.094178,46,64.108696,1198.434783
1,120772,468,6248,660.384086,145.539331,5.029976,2.31389,6.305116,2302,60.596588,2013.164606,17842623,46964,90405,16377.172898,5728.958951,0.36215,0.100503,1.608248,61013,10.574039,1376.618332
0,49326,42259,1446,0.45234,0.275538,0.100503,0.100503,0.100503,2,43,1651.5,71597,44262,1437,10.403563,3.365355,0.591206,0.100503,5.074567,47,72.106383,2146.893617
1,138235,780,1415,267.436511,128.707883,32.381551,3.495343,26.60847,852,27.478563,4345.216686,173872,2804,16328,346.547498,85.797131,6.812974,1.337915,7.574687,1323,268.132983,9307.214876
0,22464,4513,2084,42.850035,6.387974,9.114745,0.601725,9.191786,151,187.594771,2415.849673,255630,385,3913,68.974465,32.922906,1.986457,0.100503,1.752195,303,52.227564,1634.25641
1,67736,30523,1948,48.765417,14.029113,12.246233,0.100503,9.000104,190,153.703125,4391.677083,5501,5908,400,7.196389,2.635723,1.772289,0.341936,0.825193,28,86.321429,1704.928571
0,128305,213,942,140.038427,77.75205,2.149536,0.100503,19.43407,466,29.993644,1643.379237,196692,2339,4626,710.7491,310.219722,9.735097,5.092676,17.028226,2689,39.556897,2039.958288
0,11147,1500,474,40.592512,5.923009,19.648064,1.861765,12.261029,128,107.431818,2481.136364,131920,364,6974,651.765134,170.153144,4.80192,0.341936,7.054044,2335,59.589006,1840.874419
1,70651,1529,3493,119.252113,26.756356,6.515348,2.077132,5.502629,485,333.796334,11893.91446,12546,781,635,23.895327,9.018799,1.827932,0.8472,2.293004,104,149.67619,6654.819048
0,501043,3289,6694,307.805391,72.52507,2.103644,0.604091,2.832401,1093,70.658802,4390.37931,364,927,6,0.55168,0.310247,0.834981,0.339522,0.832591,2,1.5,122
0,25360,20872,461,1.482593,0.716816,1.083654,1.083654,2.532744,7,228.571429,9940.714286,723800,328,7257,1695.430195,317.463665,3.581057,1.858226,6.484086,5210,13.598488,1336.213611
1,804394,1370,15143,6881.482996,5013.642295,22.683131,2.385538,18.420981,23958,21.324988,1413.825398,5941,1615,278,39.589571,3.866453,1.515953,0.100503,1.281691,116,63.991525,2503.949153
0,504004,3109,12772,311.800311,142.633229,4.48609,1.049408,4.806823,1280,48.532819,1554.489575,864557,7352,19561,5744.732819,5311.507204,14.29579,0.35184,14.763749,3641,65.873262,3279.479679
1,1834007,773,30622,1674.266909,388.426427,29.331852,7.308293,17.65971,6261,53.226014,2662.894778,1294,431,44,0.555204,0.100503,0.100503,0.100503,0.595962,2,836,11447.5
0,404679,3866,7149,89.015049,10.43678,14.189482,0.830095,8.070898,322,250.058282,7562.352761,263614,759,8805,110.41026,26.557123,1.623834,0.100503,1.118621,454,96.043573,2606.679739
1,10270,5625,608,74.537965,34.748706,0.100503,0.100503,3.318645,226,73.374449,4133.123348,242529,7561,3702,242.633636,106.676389,7.19833,2.040511,10.073921,894,63.098999,8653.065628
0,221,285,3,1.988669,0.290192,0.337132,0.100503,0.337132,9,0.777778,145.222222,429,338,9,2.440012,0.310247,1.065008,0.100503,2.043207,7,20,3907
1,486540,260467,6755,94.886618,52.613196,0.100503,0.100503,6.566151,383,91.487179,2714.735897,6028,91,756,20.249007,4.037626,8.077498,2.152023,7.374876,79,175.708861,2820.962025
0,254,534,1,3.453649,0.277306,0.810485,0.341936,1.276667,12,6.75,573.916667,39262,848,1610,40.495021,8.943607,3.227677,0.564343,1.070321,163,132.030675,2931.515337
0,206818,15196,2513,15.210108,4.314659,0.100503,0.100503,0.100503,69,321.188406,17454.115942,1259676,337,6109,908.649322,211.333671,12.021781,7.565643,12.792381,3366,10.048666,1326.842861
1,53678,1751,496,191.43887,62.724945,0.100503,0.100503,0.100503,599,15.176568,3087.463696,10270,5625,608,74.537965,34.748706,0.100503,0.100503,3.318645,226,73.374449,4133.123348
1,10693,935,12,0.634422,0.367463,0.367463,0.100503,0.367463,2,50.5,3452.5,4557,82,167,7.337626,4.397497,0.100503,0.100503,2.092017,25,12.44,398.76
1,298668,551,6209,493.256379,206.660552,4.115212,0.854539,3.075463,2021,75.970098,3865.446569,504004,3109,12772,311.800311,142.633229,4.48609,1.049408,4.806823,1280,48.532819,1554.489575
1,462071,331717,890,201.09843,136.251577,0.100503,0.100503,0.100503,728,24.63388,2543.060109,655,562,33,1.151363,0.100503,0.573761,0.100503,0.569052,2,10,602.5
0,3106,3232,47,4.124998,2.571113,0.100503,0.100503,1.109068,17,5,531.944444,143101,128686,8742,874.212873,347.630667,4.498471,0.100503,34.977978,2767,105.734781,5276.96262
1,9542820,2069,17897,4336.358286,668.570801,7.376996,1.838381,3.113625,12252,16.385138,3413.41185,236123,858,2794,77.193573,23.971076,12.541601,2.550725,12.607072,307,159.200647,5131.31068
1,488553,38857,6666,44.929585,5.143566,2.299666,0.571442,2.297276,170,396.432749,14225.175439,65264,956,2672,226.76355,72.145405,3.781665,2.047937,3.063719,887,68.708193,1766.30752
1,173872,2804,16328,346.547498,85.797131,6.812974,1.337915,7.574687,1323,268.132983,9307.214876,1203,689,67,0.581004,0.581004,1.642786,0.100503,2.153153,2,0.5,317.5
1,78083,679,3680,165.594484,89.143156,5.186267,2.416831,7.179364,682,82.986957,3777.766667,493,74,16,0.100503,0.100503,0.100503,0.100503,0.595962,0,0,0
1,126738,779,4115,171.819555,37.294285,4.411323,1.530222,4.202883,690,126.04416,3627.968661,223,168,9,0.349327,0.349327,0.100503,0.100503,0.100503,1,77,3047
0,1424824,338,6096,462.507299,135.304122,0.334766,0.334766,0.334766,1732,43.962307,5992.778983,6061284,24,41017,410.052993,36.803759,0.100503,0.100503,0.100503,1716,21.034662,1734.612941
0,2774790,20342,15836,5088.577165,6.183081,0.810461,0.339522,1.081757,18549,4.781339,454.967895,723800,328,7257,1695.430195,317.463665,3.581057,1.858226,6.484086,5210,13.598488,1336.213611
0,488553,38857,6666,44.929585,5.143566,2.299666,0.571442,2.297276,170,396.432749,14225.175439,78083,679,3680,165.594484,89.143156,5.186267,2.416831,7.179364,682,82.986957,3777.766667
0,4189,2094,187,6.697366,1.425678,4.483607,1.332955,3.773553,29,79.206897,2846.793103,2273871,4524,11946,6782.405338,2944.524245,12.955723,2.791861,66.206208,21678,6.859364,1113.202016
0,20,7,2,7.690824,0.277306,1.331508,0.100503,2.830627,6,2,96.166667,739581,10723,1279,102.02675,96.771319,1.537322,1.054358,3.467754,432,11.191686,966.193995
0,4557,82,167,7.337626,4.397497,0.100503,0.100503,2.092017,25,12.44,398.76,9542820,2069,17897,4336.358286,668.570801,7.376996,1.838381,3.113625,12252,16.385138,3413.41185
0,49326,42259,1446,0.45234,0.275538,0.100503,0.100503,0.100503,2,43,1651.5,405315,128127,6688,131.597628,23.453871,7.381613,0.100503,7.406416,568,231.589161,9587.66958
1,207,95,5,0.100503,0.100503,0.356943,0.100503,0.356943,0,0,0,27710,3018,330,24.62105,3.845158,1.141962,0.888086,1.141962,104,100.390476,28149.476191
0,2470,357,119,1.126474,0.323284,0.337132,0.337132,0.596162,5,60.6,1983,4491415,756,29876,4499.996251,2206.571898,26.966925,12.628283,29.069822,16646,22.747726,2206.420734
1,242529,7561,3702,242.633636,106.676389,7.19833,2.040511,10.073921,894,63.098999,8653.065628,100151,31383,4679,286.941738,37.799964,6.663615,0.100503,8.464207,758,120.195059,4332.485046
1,98788,2354,5610,385.795355,172.18343,8.361113,5.092201,10.777419,1330,61.639733,2080.33358,95,120,3,0.356943,0.100503,0.356943,0.356943,0.356943,1,0,0
1,7147,737,112,2.33299,0.714556,0.86213,0.100503,1.357589,11,13.272727,520.181818,95,120,3,0.356943,0.100503,0.356943,0.356943,0.356943,1,0,0
1,454514,1479,5187,455.180615,293.839558,30.188054,0.100503,21.063196,1793,159.005962,5756.679133,119001,119704,2266,63.603262,17.010682,11.232852,0.100503,6.628897,206,167.913043,6161.917874
1,48711,22845,932,61.924804,18.578901,0.100503,0.100503,0.100503,229,80.343348,4431.682403,279,40,15,0.294044,0.294044,0.100503,0.100503,0.100503,1,1,37
1,132100,56571,1780,388.210787,13.790121,25.921914,0.341936,17.593847,804,271.116708,12786.251843,20,7,2,7.690824,0.277306,1.331508,0.100503,2.830627,6,2,96.166667
0,33669,29327,883,128.414854,23.919631,6.556255,0.339522,12.292205,228,72.779221,3492.194805,130850,3394,449,92.869651,16.538484,2.548048,0.100503,3.036688,355,102.573003,10481.735537
1,580544,2799,7371,296.978205,135.831429,15.033026,4.80718,8.262063,1201,87.183775,3547.782285,9542820,2069,17897,4336.358286,668.570801,7.376996,1.838381,3.113625,12252,16.385138,3413.41185
1,45589,862,2641,148.854279,36.998884,27.881768,3.333492,23.861282,551,127.404293,2833.847943,2403,1,75,40.236553,31.458708,51.620005,0.100503,42.630426,147,10.027211,1486.306122
0,536,1985,4,0.306073,0.306073,0.100503,0.100503,0.875418,1,6,234,35632,1744,2332,94.000604,40.525673,3.762107,0.344375,3.777184,387,86.435897,2318.617949
1,517,268,23,3.96025,0.279092,1.803743,0.359534,1.554919,17,95.647059,2144.058824,49,210,1,0.100503,0.100503,0.100503,0.100503,0.100503,0,0,0
0,356712,2070,2804,24.82391,4.468126,2.144406,0.605767,1.627039,92,258.255319,8133,10693,935,12,0.634422,0.367463,0.367463,0.100503,0.367463,2,50.5,3452.5
1,1834007,773,30622,1674.266909,388.426427,29.331852,7.308293,17.65971,6261,53.226014,2662.894778,20288,1568,655,34.28379,21.317202,1.347967,0.600714,1.365922,157,85.578616,1928.503145
0,628,921,6,3.943848,0.61859,4.76993,0.870136,2.953237,8,210.625,14027.5,220242,357,1062,452.547281,140.007534,13.439022,3.043693,13.647982,1796,13.661918,1375.807671
0,2696,1718,20,4.237052,0.321057,0.586102,0.100503,0.837439,18,84.944444,2656.888889,1097135,830,10591,73.165677,19.898366,0.100503,0.100503,0.35184,288,13.709898,762.614334
0,209,454,7,0.613409,0.354379,0.100503,0.100503,0.100503,2,0.5,9,5501,5908,400,7.196389,2.635723,1.772289,0.341936,0.825193,28,86.321429,1704.928571
0,6119,382,417,8.485918,3.285058,0.585955,0.100503,0.585955,32,145.65625,2851.40625,282305,2114,1664,38.812809,14.16104,7.518899,0.837942,5.010179,168,379.311765,32020.811765
1,108768,57,62,0.762978,0.306073,3.61194,3.370507,10.600502,3,7.333333,1022.333333,3106,3232,47,4.124998,2.571113,0.100503,0.100503,1.109068,17,5,531.944444
1,7185698,30,29179,29146.956462,18082.743596,0.100503,0.100503,4.502396,88154,4.061066,649.156485,25360,20872,461,1.482593,0.716816,1.083654,1.083654,2.532744,7,228.571429,9940.714286
1,126738,779,4115,171.819555,37.294285,4.411323,1.530222,4.202883,690,126.04416,3627.968661,21,193,0,0.100503,0.100503,0.100503,0.100503,0.35184,0,0,0
1,11427,1951,1069,31.201897,9.467739,12.70864,1.091425,16.994219,126,322.84252,6522.992126,48711,22845,932,61.924804,18.578901,0.100503,0.100503,0.100503,229,80.343348,4431.682403
0,78731,6212,1971,97.395842,57.179768,13.843644,1.788636,12.660756,378,59.916667,2026.757813,631958,674,7522,614.968745,329.330091,4.052279,1.340566,12.305035,2536,35.838659,2231.568979
0,112,243,5,1.445174,0.100503,0.100503,0.100503,0.603177,5,96.6,1414.2,266407,1592,6734,660.897263,297.090333,28.258,0.839682,20.722665,2376,66.39599,2706.108187
1,96531,87,363,81.561734,43.321465,6.590245,2.339133,12.089645,296,9.208754,2112.074074,2696,1718,20,4.237052,0.321057,0.586102,0.100503,0.837439,18,84.944444,2656.888889
